REDE;SUBREDE;TIPO;CODIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUCAO;% DEV
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA  BANDEJA MORANGO VALEMILK 540G;200;64;32,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA BANDEJA MOR/SF VALEMILK 540G;832;482,5;57,99%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA BANDEJA MORANGO DIPAULA 510G;360;96;26,67%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE AMEIXA VALE MILK 900G;355,2;3,7;1,04%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE GOIABA VALE MILK 900G;222;3,7;1,67%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE GRAVIOLA VALE MILK 900G;266,4;0;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE MORANGO DIPAULA 900G;1274,4;78,4;6,15%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE MORANGO VALE MILK 450G;0;0;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE MORANGO VALE MILK 900G;444;0;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE SALADA DE FRUTA VALE MILK 450G;0;0;0,00%
